num_doc,nombre,mnt_total_trx_barrio,mnt_total_trx_cliente,%_cada_barrio
-1720444925819289562,Versalles,1656628333.5,2209128857.5,74.99
-1721116519727253369,San Pedro,376.0,376.0,100.0
-1726398514549856868,Urbanización Militar,5024.0,5024.0,100.0
-1726598445729678147,Área Libre-Parque del Amor,13575071.0,18885578.0,71.881
-1727240227878622294,San Pedro,11948.5,16556.5,72.168
-1730585597229443602,Planta de Tratamiento,4929.0,4929.0,100.0
-1731022682371426977,San Vicente,14540827.0,14540827.0,100.0
-1735243143995472612,El Cedro,9523.5,15382.5,61.911
-1735455753549301425,Ciudad Córdoba,3040249908.0,3077755484.5,98.781
-1736072198185092173,Urbanización San Juaquín,3857.0,3857.0,100.0
-1736963010021294115,San Fernando Viejo,3252.0,3252.0,100.0
-1738686675102293103,Julio Rincón,6610045.0,6610415.5,99.994
-1741649877802945799,Urbanización Ciudad Jardín,12277470.5,19585784.0,62.686
-1742636183136301100,El Calvario,803.0,803.0,100.0
-1743533848315124851,Flora Industrial,3546953389.0,3647070338.5,97.255
-1743549624360159506,Ciudad Capri,729.5,729.5,100.0
-1748707902533683924,Unicentro Cali,552210531.5,552210531.5,100.0
